,Lane,mean_nCount_RNA,mean_nCount_CITE,mean_nFeature_RNA,mean_percent.mito,,CHECK_FOO_SNG_FILTERED
1,1,4174.282532,3558.236859,1691.166469,1.843320006,, 1     1 14363
2,2,4839.000346,3241.87538,1873.71556,1.965423945,, 2     2 14460
3,3,5480.49625,3334.341067,2058.38957,1.961265688,, 3     3 14267
4,4,4689.921412,1506.411162,1803.243736,2.296903124,, 4     4   878
5,5,5322.81824,2985.29518,2187.566522,1.876229774,, 5     5 17325
6,6,5021.357553,3024.78495,2087.288721,1.864649383,, 6     6 17768
7,7,4011.683255,2226.149915,1799.623691,2.130485067,, 7     7 19391
8,8,4073.250358,3184.703093,1795.31652,2.145806257,, 8     8 19528
9,9,6322.292762,2772.315803,2339.152564,2.561202725,, 9     9  7682
10,10,5911.080398,3130.429672,2213.054963,2.330474853,,10    10 12463
11,11,5769.131267,3004.532911,2163.602202,2.266446813,,11    11 13263
12,12,3749.069161,2864.499348,1469.583732,2.114355421,,12    12  2299
13,13,5389.253282,2801.857213,2181.692524,2.106705265,,13    13 14245
14,14,5603.849021,2751.347217,2258.802984,2.08606135,,14    14 14141
15,15,4688.572692,3063.665894,2028.079722,2.409502888,,15    15 13798
16,16,4273.365307,2883.136207,1904.045214,2.362101809,,16    16 14199
17,17,5288.166934,3524.251871,1924.395416,2.2154602,,17    17 14964
18,18,5385.19058,3542.916008,1946.312121,2.242451326,,18    18 15180
19,19,5449.42622,3546.574441,1960.304641,2.288140141,,19    19 15126
20,20,3838.092415,2165.378378,1476.599826,2.376911592,,20    20  1147
21,21,4724.825469,3215.315849,1950.6873,1.869924313,,21    21 20323
22,22,4677.788648,3170.893717,1938.807196,1.867107495,,22    22 20596
23,23,4352.145352,2937.708317,1790.430724,2.274246229,,23    23 18383
24,24,4330.856976,2994.677903,1785.520392,2.263699923,,24    24 17948